k,h=2.5,h=1.5,h=1,h=0.5
0.0,0.5,0.5,0.5,0.5
1.0,1.125,0.875,0.75,0.625
2.0,0.7734375,1.0390625,0.9375,0.7421875
3.0,1.211517333984375,0.978179931640625,0.99609375,0.837860107421875
4.0,0.5708750425837934,1.0101958611048758,0.9999847412109375,0.9057853813283145
5.0,1.1833168634306572,0.9947461360720572,0.9999999997671694,0.9484544934784317
6.0,0.6410120238088786,1.0025855273347113,1.0,0.9728987771179334
7.0,1.2163010466621893,0.9986972089052465,1.0,0.986082150418115
8.0,0.5585830730388196,1.000648849650422,1.0,0.9929442219405655
9.0,1.1750031319221406,0.9996749436659857,1.0,0.9964472189682708
10.0,0.6609300616603938,1.0001623696745767,1.0,0.9982172983576058
11.0,1.2211838497953484,0.9999187756168448,1.0,0.99910706016623
12.0,0.5459184867812492,1.0000406022954769,1.0,0.9995531314123416
13.0,1.16564721821055,0.999979696379442,1.0,0.9997764658604035
14.0,0.6829316704319413,1.0000101511919235,1.0,0.999888207946446
15.0,1.2242716803143905,0.9999949242494682,1.0,0.9999440977244913
16.0,0.5378480130508139,1.000002537836621,1.0,0.9999720472997135
17.0,1.1592668328210776,0.9999987310720285,1.0,0.99998602325918
18.0,0.697684940676241,1.0000006344615704,1.0,0.9999930115319153
19.0,1.2249866012508188,0.999999682768611,1.0,0.9999965057415383
20.0,0.5359726712677844,1.0000001586155436,1.0,0.9999982528646643
21.0,1.1577375885724341,0.9999999206921905,1.0,0.9999991264308059
22.0,0.7011907500197325,1.0000000396538953,1.0,0.9999995632150214
23.0,1.2249964552859764,0.99999998017305,1.0,0.9999997816074153
24.0,0.5359468048428994,1.0000000099134745,1.0,0.9999998908036838
25.0,1.1577163728968656,0.9999999950432626,1.0,0.9999999454018359
26.0,0.7012393049553437,1.0000000024783686,1.0,0.9999999727009165
27.0,1.224996160308069,0.9999999987608157,1.0,0.9999999863504578
28.0,0.5359475791544607,1.0000000006195922,1.0,0.9999999931752288
29.0,1.1577170080367951,0.9999999996902039,1.0,0.9999999965876144
30.0,0.701237851384611,1.000000000154898,1.0,0.9999999982938071
31.0,1.224996169309874,0.999999999922551,1.0,0.9999999991469035
32.0,0.5359475555248949,1.0000000000387246,1.0,0.9999999995734518
33.0,1.1577169886543563,0.9999999999806377,1.0,0.9999999997867258
34.0,0.7012378957429695,1.0000000000096811,1.0,0.9999999998933629
35.0,1.224996169035324,0.9999999999951594,1.0,0.9999999999466814
36.0,0.535947556245584,1.0000000000024203,1.0,0.9999999999733407
37.0,1.1577169892455106,0.9999999999987899,1.0,0.9999999999866703
38.0,0.7012378943900629,1.000000000000605,1.0,0.9999999999933351
39.0,1.2249961690436977,0.9999999999996975,1.0,0.9999999999966676
40.0,0.535947556223603,1.0000000000001512,1.0,0.9999999999983338
41.0,1.1577169892274801,0.9999999999999244,1.0,0.9999999999991669
42.0,0.7012378944313271,1.0000000000000377,1.0,0.9999999999995834
43.0,1.2249961690434423,0.9999999999999811,1.0,0.9999999999997917
44.0,0.5359475562242733,1.0000000000000093,1.0,0.9999999999998959
45.0,1.1577169892280301,0.9999999999999953,1.0,0.9999999999999479
46.0,0.7012378944300683,1.0000000000000022,1.0,0.9999999999999739
47.0,1.2249961690434499,0.9999999999999989,1.0,0.9999999999999869
48.0,0.5359475562242535,1.0000000000000004,1.0,0.9999999999999934
49.0,1.157716989228014,0.9999999999999998,1.0,0.9999999999999967
