t,S_h=5,I_h=5,R_h=5,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25
0.0,0.5,0.3,0.2,0.5,0.3,0.2,0.5,0.3,0.2
1.25,,,,,,,0.40625,0.31875,0.275
2.5,,,,0.3125,0.33749999999999997,0.35,0.3253173828125,0.31999511718749996,0.35468750000000004
3.75,,,,,,,0.26025489903986454,0.3050588216632604,0.43468627929687503
5.0,0.125,0.375,0.5,0.1806640625,0.30058593749999996,0.5187499999999999,0.21063424101911962,0.2784147742681902,0.5109509847126902
6.25,,,,,,,0.17398193810256352,0.24546338361769876,0.5805546782797377
7.5,,,,0.11278271675109865,0.21817431449890132,0.6690429687499999,0.14729056609317584,0.21078890972266173,0.6419205241841625
8.75,,,,,,,0.12788605494366698,0.17749619344150516,0.6946177516148279
10.0,0.0078125,0.11718749999999994,0.875,0.08202485185798027,0.13984502214256903,0.7781301259994505,0.11369899997694694,0.14730920004784892,0.7389917999752041
11.25,,,,,,,0.10323093201891916,0.12094996799391447,0.7758190999871664
12.5,,,,0.06768639282758002,0.08426097010168475,0.8480526370707351,0.09542732081662526,0.09851608719772975,0.8060565919856449
13.75,,,,,,,0.08955161690499003,0.07976276930993256,0.8306856137850773
15.0,0.005523681640625001,0.002288818359375,0.9921875,0.060557241424660506,0.04925963645376188,0.8901831221215775,0.08508731380466242,0.06428638008277703,0.8506263061125605
16.25,,,,,,,0.08166859168249427,0.05163350718425092,0.8666979011332547
17.5,,,,0.05682845680313368,0.02835860284840777,0.9148129403484584,0.0790330692978907,0.041360652772791766,0.8796062779293174
18.75,,,,,,,0.07699003221239192,0.0330635266650926,0.8899464411225154
20.0,0.005492074880748988,3.16067598760128e-05,0.994476318359375,0.05481398725692372,0.016193770970413843,0.9289922417726623,0.07539905597301645,0.026388621238194923,0.8982123227887886
21.25,,,,,,,0.07415550776689808,0.02103501413476456,0.9048094780983373
22.5,,,,0.053704430812406466,0.009206441929724179,0.9370891272578692,0.07318059392061849,0.01675117444735301,0.9100682316320284
23.75,,,,,,,0.07241443086129025,0.013329543894842996,0.9142560252438667
25.0,0.005491640914019046,4.339667299422872e-07,0.994507925119251,0.05308639740785233,0.005221254369416227,0.9416923482227313,0.07181114877704922,0.010600440005373272,0.9175884112175775
26.25,,,,,,,0.0713353801680942,0.008426098612984982,0.9202385212189208
27.5,,,,0.05273992542732443,0.0029570991652360075,0.9443029754074393,0.07095970582566223,0.006695248302170696,0.922345045872167
28.75,,,,,,,0.07066277279444236,0.005318369257847895,0.9240188579477097
30.0,0.005491634956045422,5.957973623685276e-09,0.994508359085981,0.05254497894050474,0.0016734960694376915,0.9457815249900573,0.0704278910953772,0.004223658642451079,0.9253484502621716
31.25,,,,,,,0.07024197648856807,0.00335365858864743,0.9264043649227843
32.5,,,,0.052435061670847716,0.0009466653043758719,0.9466182730247762,0.07009474673373403,0.002662473696319608,0.9272427795699462
33.75,,,,,,,0.06997810584659106,0.0021134961593826758,0.927908397994026
35.0,0.005491634874247881,8.17975405475651e-11,0.9945083650439547,0.052373013603826964,0.0005353807192086868,0.9470916056769642,0.06988566931037378,0.0016775586557542846,0.9284367720338716
36.25,,,,,,,0.06981239599195828,0.0013314423102312129,0.9288561616978103
37.5,,,,0.05233796422671404,0.00030273973671727237,0.9473592960365685,0.06975430150583184,0.001056676218799853,0.929189022275368
38.75,,,,,,,0.06970823418610671,0.0008385744838250192,0.929453191330068
40.0,0.005491634873124876,1.123005565746795e-12,0.9945083651257522,0.05231815824982614,0.00017117584524652796,0.9475106659049272,0.0696716994695436,0.0006654655794318694,0.9296628349510242
41.25,,,,,,,0.06964272189588266,0.0005280767582348414,0.9298292013458822
42.5,,,,0.05230696374362595,9.678242882345848e-05,0.9475962538275504,0.06961973645662427,0.0004190430079345237,0.929961220535441
43.75,,,,,,,0.06960150291676402,0.0003325157958111382,0.9300659812874246
45.0,0.005491634873109458,1.5417841318920942e-14,0.9945083651268752,0.05230063574988159,5.471920815609012e-05,0.9476446450419621,0.0695870381673065,0.00026385159631586556,0.9301491102363774
46.25,,,,,,,0.06957556276036692,0.00020936410417648474,0.9302150731354564
47.5,,,,0.05229705843816373,3.0936915795912076e-05,0.9476720046460402,0.06956645861951073,0.00016612721898855043,0.9302674141615005
48.75,,,,,,,0.0695592355680699,0.0001318184656822512,0.9303089459662476
50.0,0.005491634873109246,2.1167288763763298e-16,0.9945083651268907,0.052295036051047135,1.7490845014550242e-05,0.9476874731039381,0.06955350482325326,0.00010459459407832167,0.9303419005826682
